Count	Full_date	Port	Ship
473	01/01/1918	Bordeaux	Espagne
61	01/01/1918	Liverpool	Denis
58	01/01/1918	Santos, Rio de Janeiro, San Juan	Saga
43	01/01/1918	Bordeaux, France	Saint Jean
34	01/01/1918	Bordeaux Via Plymouth	Collingham
30	01/01/1918	Bordeaux, France	Espagne
24	01/01/1918	Bahia, Brazil	San Mateo
19	01/01/1918	Nuevitas, Cuba	Aggersborg
17	01/01/1918	Rio de Janeiro	Saga
4	01/01/1918	Santos	Saga
1	01/01/1918	Bahia	San Mateo
553	01/02/1918	Liverpool	Baltic
38	01/02/1918	Plymouth	Miguel de Larrinaga
32	01/02/1918	Buenos Aires	Senta
32	01/02/1918	Havana	Morro Castle
31	01/02/1918	Victoria	Christian Bors
4	01/02/1918	Havana	Zacapa
1	01/02/1918	Port Limon, Costa Rica	Zacapa
56	01/03/1918	Dakar and West Coast Africa	Egba
52	01/03/1918	Bombay	City of Adelaide
46	01/03/1918	Havre	Breiz Izel
37	01/03/1918	San Juan, Puerto Rico	Philadelphia (1885)
30	01/03/1918	Bombay Via Cape & W.I.	City of Adelaide
21	01/03/1918	Amsterdam	Delta
10	01/03/1918	Curacao, DWI	Philadelphia (1885)
4	01/03/1918	Tampico, Mexico	Harry Farnum
4	01/03/1918	La Guaira, Venezuela	Philadelphia (1885)
1	01/03/1918	Puerto Cabello, Venezuela	Philadelphia (1885)
266	01/04/1918	Liverpool	Carpathia
102	01/04/1918	Hamilton, Bermuda	Cascapedia
51	01/04/1918	Liverpool	Cuthbert
26	01/04/1918	Stavanger, Norway	Salonica
23	01/04/1918	Puerto Colombia via Cristobal	Santa Marta
23	01/04/1918	Puerto Rico	Times
19	01/04/1918	St. John's, Newfoundland	Harmony
17	01/04/1918	Santiago, Cuba	Eika III
12	01/04/1918	Cristobal, Canal Zone	Santa Marta
5	01/04/1918	Kingston	Santa Marta
4	01/04/1918	Puerto Colombia, Colombia	Santa Marta
1	01/04/1918	Santa Marta, Colombia	Santa Marta
226	01/05/1918	Buenos Aires	Vestris
204	01/05/1918	Buenos Aires, Argentina	Vestris
45	01/05/1918	Rio de Janeiro, Brazil	Vestris
43	01/05/1918	Rio de Janeiro	Vestris
42	01/05/1918	Matanzas, Cuba	Olinda
40	01/05/1918	Naval Base	Delaware
40	01/05/1918	Spezia, Italy	Lampo
39	01/05/1918	Ardrossan, Scotland	Lackawanna
36	01/05/1918	Barbados, British West Indies	Vestris
35	01/05/1918	Para, Brazil	Tela
30	01/05/1918	Bordeaux	Mars
29	01/05/1918	Cap Haitien, Haiti	Georgeanna Weems
27	01/05/1918	Cape Town, South Africa	Anten
2	01/05/1918	Calcutta, India	Anten
1	01/05/1918	Iquique, Chile	Texan
1	01/05/1918	Amsterdam	Gooiland
1	01/05/1918	Santa Marta via Norfolk	Sosua
74	01/06/1918	Yokohama, Japan	Tosa Maru
67	01/06/1918	Algiers, Algeria	Merton Hall
30	01/06/1918	River Tyne	Cadillac
30	01/06/1918	River Tyne, W. Shields, Eng.	Cadillac
18	01/06/1918	Puerto Colombia, Colombia	Rimfaxe
12	01/06/1918	River Tyne, No. Shields., Eng.	Cadillac
10	01/06/1918	Parrsboro, Nova Scotia	E.H. Wharton Davis
148	01/07/1918	Genoa	Duca di Genova
77	01/07/1918	San Juan, Puerto Rico	Carolina
69	01/07/1918	Cristobal, Canal Zone	Panama
66	01/07/1918	United States	Eurybates
54	01/07/1918	Bordeaux	Anglo Saxon
38	01/07/1918	Buenos Aires, Montevideo, & St. Lucia	Arna
33	01/07/1918	Reykjavik, Iceland	Island
30	01/07/1918	Seville, Spain	Cabo Cervera
29	01/07/1918	Kingston, Jamaica	Manchioneal
17	01/07/1918	NA	Gwyder Castle
8	01/07/1918	Bordeaux	City of Puebla
4	01/07/1918	Port Au Prince, Haiti	Panama
4	01/07/1918	St. Marc, Haiti	Panama
2	01/07/1918	Cristobal, C.Z. via St. Marc, Haiti	Panama
1	01/07/1918	Cristobal, Canal Zone	Advance
33	01/08/1918	Cristobal, Canal Zone	Texas
29	01/08/1918	Huelva, Spain	O.A. Knudsen
24	01/08/1918	Havana, Cuba	Carrillo
24	01/08/1918	Buenos Aires, Argentina	Nordamerika
2	01/08/1918	Mejillones, Chile	Texas
1	01/08/1918	Archangel, Russia	Nassovia
116	01/09/1918	Liverpool	Vasari
60	01/09/1918	Grenada, British West Indies	Maraval
34	01/09/1918	Sierra Leone, West Africa	Shonga
33	01/09/1918	Buenos Aires	Rio de Janeiro
33	01/09/1918	Havana	Mexico
32	01/09/1918	Genova via Hampton Roads	Reidar
20	01/09/1918	Trinidad, British West Indies	Svealand
14	01/09/1918	Havana, Cuba	Mexico
8	01/09/1918	Roatan, Honduras	M.A. Belliveau
6	01/09/1918	Georgetown, Demerara	Maraval
5	01/09/1918	Antilla, Cuba	Munamar
1	01/09/1918	Rotterdam, Holland	Shonga
1	01/09/1918	Nuevitas, Cuba	Munamar
62	01/10/1918	Halifax	Florizel
27	01/10/1918	St. John's, Newfoundland	Florizel
27	01/10/1918	Buenos Aires	Skogland
25	01/10/1918	La Pallice, France	Blaamyra
24	01/10/1918	Port Antonio, Jamaica	Nicholas Cuneo
21	01/10/1918	Bayres via Norfolk, Va.	Asgerd
19	01/10/1918	Cristobal, Canal Zone	Allianca
18	01/10/1918	Santa Cruz, Cuba	Ryvarden
16	01/10/1918	Fayal, Azores	Pharos
2	01/10/1918	Cristobal, Canal Zone	Kilpatrick
2	01/10/1918	Aalborg, Denmark	Pharos
43	01/11/1918	Genoa	Tweeddale
22	01/11/1918	Rotterdam via Cardiff	General Consul Pallisen
16	01/11/1918	Kingston	Metapan
15	01/11/1918	Cristobal, Canal Zone	Metapan
5	01/11/1918	Puerto Colombia, Colombia	Metapan
2	01/11/1918	Haiti	Augustus H. Babcock
51	01/12/1918	Glasgow	Liberia
51	01/12/1918	West Indies	Korona
44	01/12/1918	Rotterdam, Holland	Ausable
38	01/12/1918	Liverpool	Strathfillan
31	01/12/1918	Bordeaux, France	Anglo Mexican
22	01/12/1918	Rio de Janeiro	Trafalgar
17	01/12/1918	Bordeaux	Anglo Mexican
13	01/12/1918	Vera Cruz, Mexico	Esperanza
12	01/12/1918	Havana	Esperanza
12	01/12/1918	St. Kitts, B.W.I.	Korona
9	01/12/1918	Progreso, Yucatan, Mexico	Esperanza
6	01/12/1918	Monte Cristi	Algonquin
4	01/12/1918	Antigua, British West Indies	Korona
3	01/12/1918	Puerto Plata, Dominican Republic	Algonquin
3	01/12/1918	Tampico, Mexico	Esperanza
2	01/12/1918	Nassau, Bahamas	Esperanza
2	01/12/1918	Barbados, British West Indies	Korona
2	01/12/1918	Demerara, British West Indies	Korona
1	01/12/1918	Santo Domingo	Algonquin
1	01/12/1918	Turks Island, British West Indies	Algonquin
1	01/12/1918	St. Thomas, Virgin Islands	Korona
50	01/13/1918	Havre, France	Randwijk
48	01/13/1918	Boness	Silverlip
45	01/13/1918	Portland	Pinemore
31	01/13/1918	Bordeaux, France	Southerndown
17	01/13/1918	Montevideo, Uraguay	Crofton Hall
16	01/13/1918	Rosyth, Scotland	Silverlip
5	01/13/1918	Bordeaux	Southerndown
2	01/13/1918	Furness Withy	Pinemore
1	01/13/1918	Bordeaux	Pinemore
46	01/14/1918	San Juan, Puerto Rico	Coamo
38	01/14/1918	Rotterdam, Holland	Escaut
35	01/14/1918	Gothenburg, Sweden	Atland
21	01/14/1918	Puerto, Mexico	Jomsborg
21	01/14/1918	Buenos Aires & Montevideo	Norden
2	01/14/1918	Cristobal, Canal Zone	General H.F. Hodges
2	01/14/1918	Buenos Aires and Montevideo	Norden
1	01/14/1918	Tampico, Mexico	Comet
529	01/15/1918	Liverpool	Saint Louis
194	01/15/1918	Barcelona	Antonio Lopez
194	01/15/1918	Barcelona	Antonio Lopez
129	01/15/1918	Valencia, Spain	Antonio Lopez
129	01/15/1918	Valencia, Spain	Antonio Lopez
52	01/15/1918	Manchester, England	Tennyson
49	01/15/1918	Cadiz	Antonio Lopez
49	01/15/1918	Cadiz	Antonio Lopez
23	01/15/1918	Cardenas, Cuba	Orita
11	01/15/1918	Curacao, DWI	Zulia
10	01/15/1918	Mayaguez, Puerto Rico	Zulia
6	01/15/1918	Almeria, Spain	Antonio Lopez
6	01/15/1918	Almeria, Spain	Antonio Lopez
4	01/15/1918	Liverpool	Minnesota
2	01/15/1918	Malaga, Spain	Antonio Lopez
2	01/15/1918	Malaga, Spain	Antonio Lopez
1	01/15/1918	Cardenas, Cuba	Erik II
1	01/15/1918	Santo Domingo	Yuma
479	01/16/1918	Bordeaux	Niagara
138	01/16/1918	Newcastle, England via Halifax	Czaritza
32	01/16/1918	Philadelphia, Pennsylvania	California
31	01/16/1918	Bristol	Wells City
26	01/16/1918	Pernambuco, Brazil	Tungus
22	01/16/1918	Tquiqui, Chile	Frednes
363	01/17/1918	Liverpool	Tuscania
80	01/17/1918	Hamilton, Bermuda	Cascapedia
70	01/17/1918	Havana	Morro Castle
48	01/17/1918	Venzuela and Curacao	Caracas
38	01/17/1918	Nantes, France	Jeanne Marie
31	01/17/1918	Bilbas	Mar Negro
25	01/17/1918	Rotterdam, Holland	Adolf Deppe
23	01/17/1918	Victoria (Brazil)	Anglia
19	01/17/1918	Bergen, Norway	Landvard
17	01/17/1918	San Juan, Puerto Rico	Caracas
14	01/17/1918	Birger, Norway	Landvard
6	01/17/1918	Puerto Cabello, Venezuela	Caracas
5	01/17/1918	Curacao, DWI	Caracas
5	01/17/1918	La Guaira, Venezuela	Caracas
1	01/17/1918	Nassau, Bahamas	Morro Castle
135	01/18/1918	New Castle	Czar
125	01/18/1918	Glasgow	Castalia
42	01/18/1918	Cristobal, Canal Zone	Colon
37	01/18/1918	Rotterdam, Holland	Liege
32	01/18/1918	Rotterdam Via St. Johns N.F.	Baron Baeyens
20	01/18/1918	Buenos Aires	T.M. Werner
12	01/18/1918	Liverpool	Manchuria
9	01/18/1918	Rotterdam, Holland	Manitowoc
175	01/19/1918	Valparaiso, Chile	Orita
73	01/19/1918	Tilbury Docks, London, England	Michigan
52	01/19/1918	Rotterdam, Holland	Bjornstjerne Bjornson
49	01/19/1918	Saint Lucia	City of Madrid
41	01/19/1918	Havre, France via Plymouth	Pendragon Castle
21	01/19/1918	Samana, Haiti	Meta
18	01/19/1918	Colombo Via Saint Lucia	City of Madrid
17	01/19/1918	Bergen	Bjornstjerne Bjornson
17	01/19/1918	United States	Michigan
1	01/19/1918	Samana	Meta
566	01/20/1918	Liverpool	Adriatic
319	01/20/1918	Liverpool	Philadelphia
67	01/20/1918	West Indies	Guiana
11	01/20/1918	St. Thomas, Virgin Islands	Guiana
10	01/20/1918	Demerara, British West Indies	Guiana
4	01/20/1918	Antigua, British West Indies	Guiana
4	01/20/1918	Barbados, British West Indies	Guiana
4	01/20/1918	St. Kitts, B.W.I.	Guiana
3	01/20/1918	Guadalupe, French West Indies	Guiana
2	01/20/1918	St. Croix, Virgin Islands	Guiana
1	01/20/1918	Brest, France	Moorish Prince
163	01/21/1918	United States	Khiva
82	01/21/1918	San Juan, Puerto Rico	Brazos
58	01/21/1918	Trinidad, British West Indies	Matura
30	01/21/1918	Genoa	Armando
28	01/21/1918	Santa Maria, Colombia	Turrialba
25	01/21/1918	Curacao, DWI	Neptunus
9	01/21/1918	Port of Spain, Trinidad	Matura
4	01/21/1918	Bordeaux	California
4	01/21/1918	Gennaio	Armando
1	01/21/1918	Demerara, British West Indies	Matura
74	01/22/1918	Bristol via Cardiff	Comrie Castle
43	01/22/1918	Fowey	Maplemore
38	01/22/1918	United States	Eddystone
24	01/22/1918	Cardiff	Roxen
55	01/23/1918	Havana	Mexico
30	01/23/1918	Barry, England	Chilier
30	01/23/1918	Matanzas, Cuba	Kronstad
23	01/23/1918	Santos	Brynhild
233	01/24/1918	Barcelona	Manuel Calvo
92	01/24/1918	Valencia, Spain	Manuel Calvo
77	01/24/1918	Cadiz, Spain	Alicante
48	01/24/1918	Barrow, England	Cheyenne
41	01/24/1918	Liverpool	Comanchee
22	01/24/1918	Cadiz	Manuel Calvo
4	01/24/1918	Antilla, Cuba	Munamar
4	01/24/1918	Grand Bassam	Mannie Swan
1	01/24/1918	Cardiff	Harry Luckenbach
252	01/25/1918	Glasgow	Orduna
80	01/25/1918	Liverpool	City of Oran
74	01/25/1918	Macasjar, Dutch East Indies	Merauke
57	01/25/1918	Liverpool	Tamaha
38	01/25/1918	Gibraltar	Ardgarry
31	01/25/1918	Buenos Aires	Virginia
24	01/25/1918	Khardif	Londonier
23	01/25/1918	Buenos Aires via Montavidao	Nordstjernen
1	01/25/1918	Barrow, England	Orduna
1	01/25/1918	Surabaja	Merauke
53	01/26/1918	Brestiana	Moorish Prince
32	01/26/1918	Sevilla	Guadalquivir
30	01/26/1918	Naples, Genoa	Costantinos
24	01/26/1918	Melbourne, Australia	Kirkcudbrightshire
24	01/26/1918	Kristiania, Norway	San Remo
24	01/26/1918	Naples	Constantinople
90	01/27/1918	Hamilton, Bermuda	Cascapedia
38	01/27/1918	St. John, New Brunswick	Calonne
30	01/27/1918	Rotterdam, Holland	Algerie
23	01/27/1918	Colon, Canal Zone	Paris
23	01/27/1918	Queenstown, Ja	Drumeltan
22	01/27/1918	Puerto Colombia, Colombia	Stavangeren
7	01/27/1918	Black River, Jamaica	F.C. Lockhart
7	01/27/1918	Havana, Cuba Jamaica	Malcolm Baxter Jr
482	01/28/1918	Liverpool	Lapland
115	01/28/1918	Genoa	Re d Italia
32	01/28/1918	Trinidad, Port of Spain	Pacific
30	01/28/1918	Genoa	Wellington
27	01/28/1918	Manzanillo, Cuba	Bowden
24	01/28/1918	Manzanillo, Cuba	Honduras
22	01/28/1918	Buenos Aires	Uffe
1	01/28/1918	Victoria	Pacific
1	01/28/1918	Genoa	Honduras
28	01/29/1918	Teixpam, Mexico	Borgestad
23	01/29/1918	St. John, New Brunswick	Fagersand
22	01/29/1918	Buenos Aires	Hermes
18	01/29/1918	Maracaibo via Curacao	Mimer
13	01/29/1918	Puerto Plata, Dominican Republic	Iroquois
4	01/29/1918	Iquique, Chile	Winnebago
4	01/29/1918	Santo Domingo	Iroquois
1	01/29/1918	Sanchez, Dominican Republic	Iroquois
79	01/30/1918	Havana	Morro Castle
47	01/30/1918	Port of Spain, Trinidad	Mayaro
33	01/30/1918	Puerto Padre, Cuba	Paloma
31	01/30/1918	Bordeaux	Roath
27	01/30/1918	Barcelona	Arraiz
26	01/30/1918	San Feliu de Guixolo, Spain	Carasa
22	01/30/1918	Trinidad, British West Indies	Mayaro
19	01/30/1918	Vera Cruz, Mexico	Monterey
3	01/30/1918	Puerto Barrios, Guatemala	Suriname
1	01/30/1918	Progreso, Yucatan, Mexico	Monterey
1	01/30/1918	Tampico, Mexico	Monterey
1	01/30/1918	Kingston	Suriname
1	01/30/1918	Granada	Mayaro
1	01/30/1918	Puerto Cortes, Honduras	Suriname
144	01/31/1918	Genova	Duca Degli Abruzzi
139	01/31/1918	Genova	America (1908)
77	01/31/1918	West Hartlepool, England	City of Corinth
44	01/31/1918	San Juan, Puerto Rico	Philadelphia (1885)
33	01/31/1918	Cristobal, Canal Zone	Advance
29	01/31/1918	Sevilla	Salvadora
13	01/31/1918	Milford Haven, Wales	Portonia
7	01/31/1918	Curacao, DWI	Philadelphia (1885)
7	01/31/1918	La Guaira, Venezuela	Philadelphia (1885)
3	01/31/1918	Puerto Colombia, Colombia	Saramacca
3	01/31/1918	Cartagena, Colombia	Saramacca
3	01/31/1918	Santa Marta, Colombia	Saramacca
1	01/31/1918	Pto. Cabello, Venez.	Philadelphia (1885)
1	01/31/1918	Puerto Cabello, Venezuela	Philadelphia (1885)
24	02/01/1918	Buenos Aires	Winga
24	02/01/1918	Liverpool	Asulf
3	02/01/1918	Liverpool	Avon
2	02/01/1918	Cristobal, Canal Zone	Advance
1	02/01/1918	Frontera, Mexico	Oregon
284	02/02/1918	Bordeaux, France	La Touraine
86	02/02/1918	Santa Cruis de Tenerife	Isla de Panay
79	02/02/1918	Manchester, England	Bovic
33	02/02/1918	Rotterdam, Holland	Republica Argentina
27	02/02/1918	Antilla, Cuba	Danebrog
19	02/02/1918	Lguizue	Danebod
18	02/02/1918	Sydney	War Cypress
1	02/02/1918	Plymouth	Dipton
252	02/03/1918	Liverpool	New York
103	02/03/1918	Liverpool	Northumberland
98	02/03/1918	Glasgow	Anchoria
23	02/03/1918	Rotterdam, Holland	Columbia
9	02/03/1918	Salt River Jamaica	Ralph S. Parsons
2	02/03/1918	Port Limon, Costa Rica	Santa Marta
1	02/03/1918	Stavanger, Norway	Drammensfjord
175	02/04/1918	Rio de Janeiro	Curvello
96	02/04/1918	Genoa	San Giovanni
82	02/04/1918	United States	Aeneas
61	02/04/1918	San Juan, Puerto Rico	Coamo
51	02/04/1918	Highorn Italy	Polglass Castle
45	02/04/1918	Manaos, Brazil	Sergipe
40	02/04/1918	Messina, Italy	Bayonne
36	02/04/1918	Rotterdam, Holland	Flandres
30	02/04/1918	Plymouth	Aeneas
24	02/04/1918	St. John, New Brunswick	Iocolite
14	02/04/1918	Buenos Aires	Polarstjerne
13	02/04/1918	Belem (State of Para)	Curvello
12	02/04/1918	Havana	Santa Marta
5	02/04/1918	Barbados, British West Indies	Curvello
4	02/04/1918	Port Limon	Santa Marta
4	02/04/1918	Belem de Para	Curvello
3	02/04/1918	Naples	San Giovanni
1	02/04/1918	Para	Curvello
1	02/04/1918	Barry S. W. Via Italy	Polglass Castle
129	02/05/1918	Liverpool	City of Marseilles
70	02/05/1918	Halifax	Florizel
46	02/05/1918	St. John's, Newfoundland	Florizel
39	02/05/1918	Rotterdam, Holland	Sandefjord
25	02/05/1918	Manati, Cuba	Harald
24	02/05/1918	Guantanamo Cuba	Joseph J. Cuneo
14	02/05/1918	Buenos Aires	Ba
6	02/05/1918	Brest, France	San Jacinto
81	02/06/1918	Cristobal, Canal Zone	Allianca
70	02/06/1918	Havana	Mexico
44	02/06/1918	Cristobal, Canal Zone	Panama
25	02/06/1918	Chaparra, Puerto Padre	Borglum
19	02/06/1918	St. Marc, Haiti	Panama
6	02/06/1918	Antilla, Cuba	Munamar
1	02/06/1918	Cristobal via St. Marc	Panama
1933	02/07/1918	Rotterdam, Holland	Nieuw Amsterdam
235	02/07/1918	Liverpool	Pannonia
38	02/07/1918	Rossythe	Brambleleaf
29	02/07/1918	Firth of Forth via Halifax	Brambleleaf
25	02/07/1918	Rotterdam via Kristiaina and Bergen	Liv
23	02/07/1918	Santa Marta, Colombia	Sosua
18	02/07/1918	San Pedro de Macoris, Dominican Republic	Grove
6	02/07/1918	Buenos Aires	Salen
3	02/07/1918	Bordeaux	Munplace
1	02/07/1918	Macoris, Santo Domingo	Yaque
1	02/07/1918	Halifax	Brambleleaf
1	02/07/1918	Salonica	Lord Dufferin
99	02/08/1918	Genoa	Caserta
80	02/08/1918	Hamilton, Bermuda	Cascapedia
32	02/08/1918	Cristobal, Canal Zone	Zacapa
31	02/08/1918	Kingston	Zacapa
22	02/08/1918	Port Antonio via Lagua Tanamo	Nicholas Cuneo
21	02/08/1918	Santos	Skinfaxe
19	02/08/1918	Bahia, Brazil	Fiore
6	02/08/1918	Puerto Colombia, Colombia	Zacapa
6	02/08/1918	Curacao, DWI	Zulia
4	02/08/1918	Santa Marta, Colombia	Zacapa
4	02/08/1918	Maracaibo, Venezuela	Zulia
3	02/08/1918	Port Antonio, Jamaica	Nicholas Cuneo
2	02/08/1918	Mayaguez, Puerto Rico	Zulia
377	02/09/1918	Liverpool	Olympic
277	02/09/1918	Liverpool	Saxonia
63	02/09/1918	Liverpool	Stentor
59	02/09/1918	Kingston	British Princess
42	02/09/1918	Rotterdam, Holland	Elisabeth Von Belgie
39	02/09/1918	Nuevitas, Cuba	Olinda
33	02/09/1918	Barbados, British West Indies	Besseggen
24	02/09/1918	Chile Coast	Heina
24	02/09/1918	Liverpool	Storaker
22	02/09/1918	Buenos Aires	Spangereid
15	02/09/1918	Queenstown	Renfield
10	02/09/1918	Buenos Aires	Charles Davenport
2	02/09/1918	Jobos, Puerto Rico	Santurce
1	02/09/1918	Chile	Heina
1	02/09/1918	Buenos Aires	British Princess
336	02/10/1918	Bordeaux	Rochambeau
203	02/10/1918	Liverpool	Saint Paul
65	02/10/1918	Cap Haitien, Haiti	Oranje Nassau
52	02/10/1918	Tyne, England	Montana
48	02/10/1918	Plymouth, via Cardiff	Idaho
45	02/10/1918	London, England	Winamac
31	02/10/1918	Havana	Esperanza
22	02/10/1918	Santos	Roald Jarl
20	02/10/1918	Fayal, Azores	Cumberland
14	02/10/1918	Vera Cruz, Mexico	Esperanza
9	02/10/1918	Nassau, Bahamas	Esperanza
5	02/10/1918	Tampico, Mexico	Esperanza
4	02/10/1918	Progreso, Yucatan, Mexico	Esperanza
3	02/10/1918	Curacao, DWI	Oranje Nassau
3	02/10/1918	Port Au Prince	Oranje Nassau
2	02/10/1918	Montevideo, Uraguay	American
2	02/10/1918	Port De Paix	Oranje Nassau
1	02/10/1918	La Pallice, France	Franklyn
170	02/11/1918	Naples	San Gennaro
119	02/11/1918	United States	Lancastrian
78	02/11/1918	San Juan, Puerto Rico	Brazos
77	02/11/1918	Havre	La Perouse
72	02/11/1918	Lisbon, Portugal	Mormugao
67	02/11/1918	Georgetown, British Guiana	Parima
46	02/11/1918	Havana, Cuba	Sixaola
34	02/11/1918	Fquiqu	Hercules
27	02/11/1918	Greenock	Olivebank
26	02/11/1918	Kingston, Jamaica	Manchioneal
23	02/11/1918	Buenos Aires	Mariposa
22	02/11/1918	Caibarien	Ottar
20	02/11/1918	Halifax	Hovland
7	02/11/1918	St. Thomas, Virgin Islands	Parima
5	02/11/1918	Martinique, French West Indies	Parima
4	02/11/1918	St. Kitts, B.W.I.	Parima
3	02/11/1918	Antigua, British West Indies	Parima
3	02/11/1918	St. Croix, Virgin Islands	Parima
2	02/11/1918	Guadalupe, French West Indies	Parima
2	02/11/1918	St. Lucia, B.W.I.	Parima
1	02/11/1918	Dominica, B.W.I.	Parima
1	02/11/1918	Barbados, British West Indies	Parima
1	02/11/1918	Ponta Delgada, Azores	Mormugao
105	02/12/1918	Glasgow	Mahsud
54	02/12/1918	Tilbury Docks, London, England	Vandalia
44	02/12/1918	Liverpool	Ashtabula
27	02/12/1918	Rotterdam, Holland	Remier
21	02/12/1918	Manzanillo, Cuba	Frederiksborg
19	02/12/1918	Nuevitas, Cuba	Alfred Hage
16	02/12/1918	Jamaica	Titania
2	02/12/1918	Copenhagen, Denmark	Alfred Hage
511	02/13/1918	Bordeaux	Espagne
461	02/13/1918	Liverpool	Carmania
43	02/13/1918	Swansea, England	Paul Paix
42	02/13/1918	Singapore	Capto
37	02/13/1918	Buenos Aires	Kensington
21	02/13/1918	Christiania	Lyngo
16	02/13/1918	Buenos Aires	Professor Koch
10	02/13/1918	Sagua, Cuba	Ingeborg
7	02/13/1918	Turks Island, British West Indies	Fred W. Thurlow
1	02/13/1918	Cardiff, Wales	Skamskeln
85	02/14/1918	Cristobal, Canal Zone	Colon
53	02/14/1918	Bordeaux, France	Hudson
50	02/14/1918	Venezuela via Curacao	Caracas
40	02/14/1918	Marseilles	Bankdale
35	02/14/1918	H...a	Adelina
30	02/14/1918	Pa... Para	Vindeggen
26	02/14/1918	Cristobal, Canal Zone	Souverain
23	02/14/1918	Wa...ta (Nicaragua)	Silkeborg
22	02/14/1918	San Juan, Puerto Rico	Caracas
14	02/14/1918	Puerto Plata, Dominican Republic	Algonquin
11	02/14/1918	La Guaira, Venezuela	Caracas
9	02/14/1918	La Pallice, France	Motherland
6	02/14/1918	Puerto Cabello, Venezuela	Caracas
5	02/14/1918	Ba. Guayra	Caracas
4	02/14/1918	Sanchez, Dominican Republic	Algonquin
3	02/14/1918	Turks Island, British West Indies	Algonquin
3	02/14/1918	Santo Domingo	Algonquin
2	02/14/1918	Curacao, DWI	Caracas
1	02/14/1918	Macoris, Dominican Republic	Algonquin
1	02/14/1918	Warinta, Nicaragua	Silkeborg
1	02/14/1918	Matanzas, Cuba	Walter D. Munson
1	02/14/1918	Bordeaux	Annetta
342	02/15/1918	Buenos Aires (La Plata)	Vauban
164	02/15/1918	United States	Khyber
70	02/15/1918	Rio De Janeiro	Vauban
41	02/15/1918	Genoa	Splendor
39	02/15/1918	Gibraltar	Ocamo
35	02/15/1918	Malaga, Spain	Ida
30	02/15/1918	Melbourne, Australia	Delagoa
30	02/15/1918	Ayres (La Plata)	Vauban
28	02/15/1918	Cristobal, Canal Zone	Dipton
27	02/15/1918	La ...allice, France	Alexander Kielland
22	02/15/1918	Caibarien, Cuba	Kapana
21	02/15/1918	Buenos Aires	H. Pontoppidan
15	02/15/1918	Barbados, British West Indies	Vauban
12	02/15/1918	Cristobal, Canal Zone	Carrillo
12	02/15/1918	Puerto Cortes, Honduras	James William
8	02/15/1918	Kingston	Carrillo
7	02/15/1918	Grand Bassa Via San Juan	G.J. Cherry
1	02/15/1918	Cartagena, Colombia	Carrillo
1	02/15/1918	Santa Marta, Colombia	Carrillo
1	02/15/1918	Grand Bassa Liberia	G.J. Cherry
78	02/16/1918	Manchester, England	Keelung
47	02/16/1918	Bordeaux, France	Siamese Prince
38	02/16/1918	Stavanger, Norway	Drammensfjord
28	02/16/1918	St. Michaels, Azores via Bermuda	Keltier
28	02/16/1918	Valparaiso, Chile	Sydland
25	02/16/1918	Puertas, Cuba	Belita
25	02/16/1918	Para, Brazil	Thelma
22	02/16/1918	Santos via San Juan	Liv
18	02/16/1918	Buenos Aires	Callao
16	02/16/1918	Buenos Aires	Kosmos
7	02/16/1918	Budgeta, W. I.	Bessie MacDonald
3	02/16/1918	Genoa, Italy	Kerlew
1	02/16/1918	Rosyth, Scotland	Edward L. Doheny
45	02/17/1918	Paramaribo	Prins Frederik Hendrik
42	02/17/1918	Stavanger, Norway	Ranenfjord
31	02/17/1918	Nuevitas, Cuba	Olaf
20	02/17/1918	Rosario, Chili	Bryssel
19	02/17/1918	Iquique, Chile	Lara
419	02/18/1918	Christiania	Bergensfjord
412	02/18/1918	Kristiania, Norway	Bergensfjord
78	02/18/1918	Hamilton, Bermuda	Cascapedia
71	02/18/1918	San Juan, Puerto Rico	Carolina
54	02/18/1918	Gibraltar	Hungerford
37	02/18/1918	Huelva, Spain	Highland Monarch
30	02/18/1918	Buenos Aires	Tricolor
22	02/18/1918	Buenos Aires	Storegrund
20	02/18/1918	Havana, Cuba	Almirante
20	02/18/1918	Reykjavik, Iceland	Gullfoss
4	02/18/1918	Port Limon, Costa Rica	Almirante
1	02/18/1918	Rotterdam, Holland	Nieuw Amsterdam
1	02/18/1918	Buenos Aires	Mariposa
141	02/19/1918	Glasgow	Demosthenes
64	02/19/1918	Barry Docks, Wales	Amiral Nielly
50	02/19/1918	United States	Benrinnes
44	02/19/1918	Buenos Aires	Rowena
30	02/19/1918	Gibraltar	Amiral Nielly
27	02/19/1918	United States	Port Augusta
14	02/19/1918	Londonal, C. Z.	Port Augusta
11	02/19/1918	Gibraltar	Ardgair
4	02/19/1918	Londonl, C. Z.	Port Augusta
2	02/19/1918	London, C. Z.	Port Augusta
2	02/19/1918	United States	Rowena
1	02/19/1918	Buenos Aires	Benrinnes
1	02/19/1918	London	Benrinnes
1	02/19/1918	London Aires	Benrinnes
1	02/19/1918	Cristobal, Canal Zone	Cristobal
1	02/19/1918	Londona, C. Z.	Port Augusta
1	02/19/1918	Buenos Aires, Argentina	Rowena
1	02/19/1918	Tampico, Mexico	Socony
361	02/20/1918	Liverpool	Saint Louis
98	02/20/1918	Havana	Mexico
71	02/20/1918	London, England	Port Hardy
29	02/20/1918	Valencia, Spain	Mouro
27	02/20/1918	San Juan, Puerto Rico	Graecia
21	02/20/1918	Huelva, Spain	Calabria
